dataType,date,tradingPartner,value
OlddocVolume,2018-03-24,K,300521
OldpoValue,2018-03-24,K,0
OldinvValue,2018-03-24,K,0
OldpayValue,2018-03-24,K,0
OlddocCount,2018-03-24,L,0
OlddocVolume,2018-03-24,L,0
OldpoValue,2018-03-24,L,0
OldinvValue,2018-03-24,L,0
OldpayValue,2018-03-24,L,0
OlddocCount,2018-03-24,M,0
OlddocVolume,2018-03-24,M,0
OldpoValue,2018-03-24,M,0
OldinvValue,2018-03-24,M,0
OldpayValue,2018-03-24,M,0
OlddocCount,2018-03-24,N,348
OlddocVolume,2018-03-24,N,113320
OldpoValue,2018-03-24,N,0
OldinvValue,2018-03-24,N,0
OldpayValue,2018-03-24,N,0
OlddocCount,2018-03-24,O,1375
OlddocVolume,2018-03-24,O,225238
OldpoValue,2018-03-24,O,0
OldinvValue,2018-03-24,O,0
OldpayValue,2018-03-24,O,0
OlddocCount,2018-03-24,P,1059
OlddocVolume,2018-03-24,P,251079
OldpoValue,2018-03-24,P,0
OldinvValue,2018-03-24,P,0
OldpayValue,2018-03-24,P,0
OlddocCount,2018-03-24,Q,0
OlddocVolume,2018-03-24,Q,0
OldpoValue,2018-03-24,Q,0
OldinvValue,2018-03-24,Q,0
OldpayValue,2018-03-24,Q,0
OlddocCount,2018-03-24,R,120
OlddocVolume,2018-03-24,R,34694
OldpoValue,2018-03-24,R,0
OldinvValue,2018-03-24,R,0
OldpayValue,2018-03-24,R,0
OlddocCount,2018-03-24,S,48
OlddocVolume,2018-03-24,S,2293
OldpoValue,2018-03-24,S,0
OldinvValue,2018-03-24,S,0
OldpayValue,2018-03-24,S,0
OlddocCount,2018-03-24,T,333
OlddocVolume,2018-03-24,T,81925
OldpoValue,2018-03-24,T,0
OldinvValue,2018-03-24,T,0
OldpayValue,2018-03-24,T,0
OlddocCount,2018-03-24,U,0
OlddocVolume,2018-03-24,U,0
OldpoValue,2018-03-24,U,0
OldinvValue,2018-03-24,U,0
OldpayValue,2018-03-24,U,0
docCount,2018-03-25,A,29038
docVolume,2018-03-25,A,14037140
poValue,2018-03-25,A,22875
invValue,2018-03-25,A,529542742
payValue,2018-03-25,A,0
OlddocCount,2018-03-25,B,9905
OlddocVolume,2018-03-25,B,4367812
OldpoValue,2018-03-25,B,0
OldinvValue,2018-03-25,B,0
OldpayValue,2018-03-25,B,0
OlddocCount,2018-03-25,C,856
OlddocVolume,2018-03-25,C,41908
OldpoValue,2018-03-25,C,0
OldinvValue,2018-03-25,C,0
OldpayValue,2018-03-25,C,0
OlddocCount,2018-03-25,D,28
OlddocVolume,2018-03-25,D,16388
OldpoValue,2018-03-25,D,0
OldinvValue,2018-03-25,D,0
OldpayValue,2018-03-25,D,0
OlddocCount,2018-03-25,E,163
OlddocVolume,2018-03-25,E,461115
OldpoValue,2018-03-25,E,0
OldinvValue,2018-03-25,E,0
OldpayValue,2018-03-25,E,0
OlddocCount,2018-03-25,F,0
OlddocVolume,2018-03-25,F,0
OldpoValue,2018-03-25,F,0
OldinvValue,2018-03-25,F,0
OldpayValue,2018-03-25,F,0
OlddocCount,2018-03-25,G,0
OlddocVolume,2018-03-25,G,0
OldpoValue,2018-03-25,G,0
OldinvValue,2018-03-25,G,0
OldpayValue,2018-03-25,G,0
OlddocCount,2018-03-25,H,58
OlddocVolume,2018-03-25,H,34130
OldpoValue,2018-03-25,H,0
OldinvValue,2018-03-25,H,0
OldpayValue,2018-03-25,H,0
OlddocCount,2018-03-25,I,116
OlddocVolume,2018-03-25,I,70062
OldpoValue,2018-03-25,I,0
OldinvValue,2018-03-25,I,0
OldpayValue,2018-03-25,I,0
OlddocCount,2018-03-25,J,41
OlddocVolume,2018-03-25,J,20657
OldpoValue,2018-03-25,J,18999
OldinvValue,2018-03-25,J,0
OldpayValue,2018-03-25,J,0
OlddocCount,2018-03-25,K,939
OlddocVolume,2018-03-25,K,175592
OldpoValue,2018-03-25,K,0
OldinvValue,2018-03-25,K,0
OldpayValue,2018-03-25,K,0
OlddocCount,2018-03-25,L,0
OlddocVolume,2018-03-25,L,0
OldpoValue,2018-03-25,L,0
OldinvValue,2018-03-25,L,0
OldpayValue,2018-03-25,L,0
OlddocCount,2018-03-25,M,0
OlddocVolume,2018-03-25,M,0
OldpoValue,2018-03-25,M,0
OldinvValue,2018-03-25,M,0
OldpayValue,2018-03-25,M,0
OlddocCount,2018-03-25,N,11
OlddocVolume,2018-03-25,N,3454
OldpoValue,2018-03-25,N,0
OldinvValue,2018-03-25,N,0
OldpayValue,2018-03-25,N,0
OlddocCount,2018-03-25,O,64
OlddocVolume,2018-03-25,O,10793
OldpoValue,2018-03-25,O,0
OldinvValue,2018-03-25,O,0
OldpayValue,2018-03-25,O,0
OlddocCount,2018-03-25,P,865
OlddocVolume,2018-03-25,P,202235
OldpoValue,2018-03-25,P,0
OldinvValue,2018-03-25,P,0
OldpayValue,2018-03-25,P,0
OlddocCount,2018-03-25,Q,0
OlddocVolume,2018-03-25,Q,0
OldpoValue,2018-03-25,Q,0
OldinvValue,2018-03-25,Q,0
OldpayValue,2018-03-25,Q,0
OlddocCount,2018-03-25,R,37
OlddocVolume,2018-03-25,R,10845
OldpoValue,2018-03-25,R,0
OldinvValue,2018-03-25,R,0
OldpayValue,2018-03-25,R,0
OlddocCount,2018-03-25,S,2
OlddocVolume,2018-03-25,S,96
OldpoValue,2018-03-25,S,0
OldinvValue,2018-03-25,S,0
OldpayValue,2018-03-25,S,0
OlddocCount,2018-03-25,T,169
OlddocVolume,2018-03-25,T,133559
OldpoValue,2018-03-25,T,0
OldinvValue,2018-03-25,T,0
OldpayValue,2018-03-25,T,0
OlddocCount,2018-03-25,U,0
OlddocVolume,2018-03-25,U,0
OldpoValue,2018-03-25,U,0
OldinvValue,2018-03-25,U,0
OldpayValue,2018-03-25,U,0
docCount,2018-03-26,A,119394
docVolume,2018-03-26,A,134525423
poValue,2018-03-26,A,157524566
invValue,2018-03-26,A,1336589355
payValue,2018-03-26,A,0
OlddocCount,2018-03-26,B,6925
OlddocVolume,2018-03-26,B,3058866
OldpoValue,2018-03-26,B,0
OldinvValue,2018-03-26,B,0
OldpayValue,2018-03-26,B,0
OlddocCount,2018-03-26,C,3784
OlddocVolume,2018-03-26,C,1284861
OldpoValue,2018-03-26,C,0
OldinvValue,2018-03-26,C,0
OldpayValue,2018-03-26,C,0
OlddocCount,2018-03-26,D,139
OlddocVolume,2018-03-26,D,141271
OldpoValue,2018-03-26,D,0
OldinvValue,2018-03-26,D,0
OldpayValue,2018-03-26,D,0
OlddocCount,2018-03-26,E,732
OlddocVolume,2018-03-26,E,1497872
OldpoValue,2018-03-26,E,0
OldinvValue,2018-03-26,E,0
OldpayValue,2018-03-26,E,0
OlddocCount,2018-03-26,F,9
OlddocVolume,2018-03-26,F,429
OldpoValue,2018-03-26,F,0
OldinvValue,2018-03-26,F,0
OldpayValue,2018-03-26,F,0
OlddocCount,2018-03-26,G,0
OlddocVolume,2018-03-26,G,0
OldpoValue,2018-03-26,G,0
OldinvValue,2018-03-26,G,0
OldpayValue,2018-03-26,G,0
OlddocCount,2018-03-26,H,215
OlddocVolume,2018-03-26,H,199719
OldpoValue,2018-03-26,H,0
OldinvValue,2018-03-26,H,0
OldpayValue,2018-03-26,H,0
OlddocCount,2018-03-26,I,2396
OlddocVolume,2018-03-26,I,1203255
OldpoValue,2018-03-26,I,0
OldinvValue,2018-03-26,I,0
OldpayValue,2018-03-26,I,0
OlddocCount,2018-03-26,J,1824
OlddocVolume,2018-03-26,J,622737
OldpoValue,2018-03-26,J,77219548
OldinvValue,2018-03-26,J,0
OldpayValue,2018-03-26,J,0
OlddocCount,2018-03-26,K,1395
OlddocVolume,2018-03-26,K,286184
OldpoValue,2018-03-26,K,0
OldinvValue,2018-03-26,K,0
OldpayValue,2018-03-26,K,0
OlddocCount,2018-03-26,L,0
OlddocVolume,2018-03-26,L,0
OldpoValue,2018-03-26,L,0
OldinvValue,2018-03-26,L,0
OldpayValue,2018-03-26,L,0
OlddocCount,2018-03-26,M,0
OlddocVolume,2018-03-26,M,0
OldpoValue,2018-03-26,M,0
OldinvValue,2018-03-26,M,0
OldpayValue,2018-03-26,M,0
OlddocCount,2018-03-26,N,2573
OlddocVolume,2018-03-26,N,842966
OldpoValue,2018-03-26,N,0
OldinvValue,2018-03-26,N,0
OldpayValue,2018-03-26,N,0
OlddocCount,2018-03-26,O,2866
OlddocVolume,2018-03-26,O,474291
OldpoValue,2018-03-26,O,0
OldinvValue,2018-03-26,O,0
OldpayValue,2018-03-26,O,0
OlddocCount,2018-03-26,P,404
OlddocVolume,2018-03-26,P,94856
OldpoValue,2018-03-26,P,0
OldinvValue,2018-03-26,P,0
OldpayValue,2018-03-26,P,0
OlddocCount,2018-03-26,Q,0
OlddocVolume,2018-03-26,Q,0
OldpoValue,2018-03-26,Q,0
OldinvValue,2018-03-26,Q,0
OldpayValue,2018-03-26,Q,0
OlddocCount,2018-03-26,R,2318
OlddocVolume,2018-03-26,R,669312
OldpoValue,2018-03-26,R,0
OldinvValue,2018-03-26,R,0
OldpayValue,2018-03-26,R,0
OlddocCount,2018-03-26,S,267
OlddocVolume,2018-03-26,S,67667
OldpoValue,2018-03-26,S,175
OldinvValue,2018-03-26,S,0
OldpayValue,2018-03-26,S,0
OlddocCount,2018-03-26,T,1006
OlddocVolume,2018-03-26,T,1241620
OldpoValue,2018-03-26,T,0
OldinvValue,2018-03-26,T,0
OldpayValue,2018-03-26,T,0
OlddocCount,2018-03-26,U,0
OlddocVolume,2018-03-26,U,0
OldpoValue,2018-03-26,U,0
OldinvValue,2018-03-26,U,0
OldpayValue,2018-03-26,U,0
docCount,2018-03-27,A,129167
docVolume,2018-03-27,A,139109463
poValue,2018-03-27,A,330017045
invValue,2018-03-27,A,1047665564
payValue,2018-03-27,A,0
OlddocCount,2018-03-27,B,3077
OlddocVolume,2018-03-27,B,1378622
OldpoValue,2018-03-27,B,0
OldinvValue,2018-03-27,B,0
OldpayValue,2018-03-27,B,0
OlddocCount,2018-03-27,C,2836
OlddocVolume,2018-03-27,C,871283
OldpoValue,2018-03-27,C,0
OldinvValue,2018-03-27,C,0
OldpayValue,2018-03-27,C,0
OlddocCount,2018-03-27,D,135
OlddocVolume,2018-03-27,D,132152
OldpoValue,2018-03-27,D,0
OldinvValue,2018-03-27,D,0
OldpayValue,2018-03-27,D,0
OlddocCount,2018-03-27,E,836
OlddocVolume,2018-03-27,E,1842783
OldpoValue,2018-03-27,E,0
OldinvValue,2018-03-27,E,0
OldpayValue,2018-03-27,E,0
OlddocCount,2018-03-27,F,9
OlddocVolume,2018-03-27,F,432
OldpoValue,2018-03-27,F,0
OldinvValue,2018-03-27,F,0
OldpayValue,2018-03-27,F,0
OlddocCount,2018-03-27,G,0
OlddocVolume,2018-03-27,G,0
OldpoValue,2018-03-27,G,0
OldinvValue,2018-03-27,G,0
OldpayValue,2018-03-27,G,0
OlddocCount,2018-03-27,H,207
OlddocVolume,2018-03-27,H,188858
OldpoValue,2018-03-27,H,0
OldinvValue,2018-03-27,H,0
OldpayValue,2018-03-27,H,0
OlddocCount,2018-03-27,I,2519
OlddocVolume,2018-03-27,I,1255285
OldpoValue,2018-03-27,I,0
OldinvValue,2018-03-27,I,0
OldpayValue,2018-03-27,I,0
OlddocCount,2018-03-27,J,1586
OlddocVolume,2018-03-27,J,352016
OldpoValue,2018-03-27,J,33703717
OldinvValue,2018-03-27,J,0
OldpayValue,2018-03-27,J,0
OlddocCount,2018-03-27,K,1942
OlddocVolume,2018-03-27,K,400931
OldpoValue,2018-03-27,K,0
OldinvValue,2018-03-27,K,0
OldpayValue,2018-03-27,K,0
OlddocCount,2018-03-27,L,0
OlddocVolume,2018-03-27,L,0
OldpoValue,2018-03-27,L,0
OldinvValue,2018-03-27,L,0
OldpayValue,2018-03-27,L,0
OlddocCount,2018-03-27,M,0
OlddocVolume,2018-03-27,M,0
OldpoValue,2018-03-27,M,0
OldinvValue,2018-03-27,M,0
OldpayValue,2018-03-27,M,0
OlddocCount,2018-03-27,N,2735
OlddocVolume,2018-03-27,N,897117
OldpoValue,2018-03-27,N,0
OldinvValue,2018-03-27,N,0
OldpayValue,2018-03-27,N,0
OlddocCount,2018-03-27,O,2945
OlddocVolume,2018-03-27,O,484408
OldpoValue,2018-03-27,O,0
OldinvValue,2018-03-27,O,0
OldpayValue,2018-03-27,O,0
OlddocCount,2018-03-27,P,454
OlddocVolume,2018-03-27,P,107008
OldpoValue,2018-03-27,P,0
OldinvValue,2018-03-27,P,0
OldpayValue,2018-03-27,P,0
OlddocCount,2018-03-27,Q,0
OlddocVolume,2018-03-27,Q,0
OldpoValue,2018-03-27,Q,0
OldinvValue,2018-03-27,Q,0
OldpayValue,2018-03-27,Q,0
OlddocCount,2018-03-27,R,2121
OlddocVolume,2018-03-27,R,612460
OldpoValue,2018-03-27,R,0
OldinvValue,2018-03-27,R,0
OldpayValue,2018-03-27,R,0
OlddocCount,2018-03-27,S,346
OlddocVolume,2018-03-27,S,52215
OldpoValue,2018-03-27,S,386012
OldinvValue,2018-03-27,S,0
OldpayValue,2018-03-27,S,0
OlddocCount,2018-03-27,T,7847
OlddocVolume,2018-03-27,T,1870192
OldpoValue,2018-03-27,T,0
OldinvValue,2018-03-27,T,0
OldpayValue,2018-03-27,T,0
OlddocCount,2018-03-27,U,0
OlddocVolume,2018-03-27,U,0
OldpoValue,2018-03-27,U,0
OldinvValue,2018-03-27,U,0
OldpayValue,2018-03-27,U,0
docCount,2018-03-28,A,129693
docVolume,2018-03-28,A,137088029
poValue,2018-03-28,A,84037297
invValue,2018-03-28,A,901588622
payValue,2018-03-28,A,0
OlddocCount,2018-03-28,B,8769
OlddocVolume,2018-03-28,B,3955959
OldpoValue,2018-03-28,B,0
OldinvValue,2018-03-28,B,0
OldpayValue,2018-03-28,B,0
OlddocCount,2018-03-28,C,4102
OlddocVolume,2018-03-28,C,634716
OldpoValue,2018-03-28,C,0
OldinvValue,2018-03-28,C,0
OldpayValue,2018-03-28,C,0
OlddocCount,2018-03-28,D,147
OlddocVolume,2018-03-28,D,145199
OldpoValue,2018-03-28,D,0
OldinvValue,2018-03-28,D,0
OldpayValue,2018-03-28,D,0
OlddocCount,2018-03-28,E,799
OlddocVolume,2018-03-28,E,1865356
OldpoValue,2018-03-28,E,0
OldinvValue,2018-03-28,E,0
OldpayValue,2018-03-28,E,0
OlddocCount,2018-03-28,F,7
OlddocVolume,2018-03-28,F,329
OldpoValue,2018-03-28,F,0
OldinvValue,2018-03-28,F,0
OldpayValue,2018-03-28,F,0
OlddocCount,2018-03-28,G,0
OlddocVolume,2018-03-28,G,0
OldpoValue,2018-03-28,G,0
OldinvValue,2018-03-28,G,0
OldpayValue,2018-03-28,G,0
OlddocCount,2018-03-28,H,230
OlddocVolume,2018-03-28,H,200400
OldpoValue,2018-03-28,H,0
OldinvValue,2018-03-28,H,0
OldpayValue,2018-03-28,H,0
OlddocCount,2018-03-28,I,2649
OlddocVolume,2018-03-28,I,1330458
OldpoValue,2018-03-28,I,0
OldinvValue,2018-03-28,I,0
OldpayValue,2018-03-28,I,0
OlddocCount,2018-03-28,J,1414
OlddocVolume,2018-03-28,J,411888
OldpoValue,2018-03-28,J,64007095
OldinvValue,2018-03-28,J,0
OldpayValue,2018-03-28,J,0
OlddocCount,2018-03-28,K,1961
OlddocVolume,2018-03-28,K,410187
OldpoValue,2018-03-28,K,0
OldinvValue,2018-03-28,K,0
OldpayValue,2018-03-28,K,0
OlddocCount,2018-03-28,L,0
OlddocVolume,2018-03-28,L,0
OldpoValue,2018-03-28,L,0
OldinvValue,2018-03-28,L,0
OldpayValue,2018-03-28,L,0
OlddocCount,2018-03-28,N,3397
OlddocVolume,2018-03-28,N,1111739
OldpoValue,2018-03-28,N,0
OldinvValue,2018-03-28,N,0
OldpayValue,2018-03-28,N,0
OlddocCount,2018-03-28,M,0
OlddocVolume,2018-03-28,M,0
OldpoValue,2018-03-28,M,0
OldinvValue,2018-03-28,M,0
OldpayValue,2018-03-28,M,0
OlddocCount,2018-03-28,O,3268
OlddocVolume,2018-03-28,O,537719
OldpoValue,2018-03-28,O,0
OldinvValue,2018-03-28,O,0
OldpayValue,2018-03-28,O,0
OlddocCount,2018-03-28,P,631
OlddocVolume,2018-03-28,P,151256
OldpoValue,2018-03-28,P,0
OldinvValue,2018-03-28,P,0
OldpayValue,2018-03-28,P,0
OlddocCount,2018-03-28,Q,0
OlddocVolume,2018-03-28,Q,0
OldpoValue,2018-03-28,Q,0
OldinvValue,2018-03-28,Q,0
OldpayValue,2018-03-28,Q,0
OlddocCount,2018-03-28,R,1845
OlddocVolume,2018-03-28,R,533782
OldpoValue,2018-03-28,R,0
OldinvValue,2018-03-28,R,0
OldpayValue,2018-03-28,R,0
OlddocCount,2018-03-28,T,2836
OlddocVolume,2018-03-28,T,1035098
OldpoValue,2018-03-28,T,0
OldinvValue,2018-03-28,T,0
OldpayValue,2018-03-28,T,0
OlddocCount,2018-03-28,S,754
OlddocVolume,2018-03-28,S,528888
OldpoValue,2018-03-28,S,0
OldinvValue,2018-03-28,S,0
OldpayValue,2018-03-28,S,0
OlddocCount,2018-03-28,U,0
OlddocVolume,2018-03-28,U,0
OldpoValue,2018-03-28,U,0
OldinvValue,2018-03-28,U,0
OldpayValue,2018-03-28,U,0
docCount,2018-03-29,A,163991
docVolume,2018-03-29,A,138239844
poValue,2018-03-29,A,70398319
invValue,2018-03-29,A,1530437534
payValue,2018-03-29,A,0
OlddocCount,2018-03-29,B,16862
OlddocVolume,2018-03-29,B,7456235
OldpoValue,2018-03-29,B,0
OldinvValue,2018-03-29,B,0
OldpayValue,2018-03-29,B,0
OlddocCount,2018-03-29,C,18033
OlddocVolume,2018-03-29,C,923560
OldpoValue,2018-03-29,C,0
OldinvValue,2018-03-29,C,0
OldpayValue,2018-03-29,C,0
OlddocCount,2018-03-29,D,118
OlddocVolume,2018-03-29,D,111815
OldpoValue,2018-03-29,D,0
OldinvValue,2018-03-29,D,0
OldpayValue,2018-03-29,D,0
OlddocCount,2018-03-29,E,1061
OlddocVolume,2018-03-29,E,2214657
OldpoValue,2018-03-29,E,0
